"","cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department","centrality_std","density_std"
"60",1,5.8,0.466666666666667,10,"hasil belajar","hasil belajar; motivasi belajar; problem based learning; eksperimen; pemahaman konsep; alat optik; energi terbarukan; flipped learning; kalor dan perpindahan kalor; minat belajar","hasil belajar; motivasi belajar; problem based learning; eksperimen; pemahaman konsep; alat optik; energi terbarukan; flipped learning; kalor dan perpindahan kalor; minat belajar","PFis",1.82167282008319,-0.557030027145312
"61",2,3.5,0.5,8,"analisis video","analisis video; momen inersia; software tracker; bola jatuh; gerak menggelinding; viskositas gliserin; alat peraga; arduino uno","analisis video; momen inersia; software tracker; bola jatuh; gerak menggelinding; viskositas gliserin; alat peraga; arduino uno","PFis",-1.24334109587025,-0.388545636218645
"62",3,4,0.571428571428571,7,"modul-el","modul-el; heyzine; website; aplikasi; elastisitas dan hukum hooke; gerak parabola; dinamika gerak","modul-el; heyzine; website; aplikasi; elastisitas dan hukum hooke; gerak parabola; dinamika gerak","PFis",-0.577033722836895,-0.0275076556614994
"63",4,4.125,0.5,8,"inkuiri","inkuiri; prestasi belajar; difraksi; karakter; profil pelajar pancasila; discovery learning; kalor; disiplin belajar","inkuiri; prestasi belajar; difraksi; karakter; profil pelajar pancasila; discovery learning; kalor; disiplin belajar","PFis",-0.410456879578556,-0.388545636218645
"64",5,5,1,6,"analisis bunyi","analisis bunyi; frekuensi resonansi; gamelan; logger pro; sensor bunyi; software","analisis bunyi; frekuensi resonansi; gamelan; logger pro; sensor bunyi; software","PFis",0.755581023229818,2.13872022768139
"65",6,4.33333333333333,0.6,6,"momentum dan impuls","momentum dan impuls; diskusi; eksperimen terbimbing; karakter sosial; literasi sains; peer tutoring","momentum dan impuls; diskusi; eksperimen terbimbing; karakter sosial; literasi sains; peer tutoring","PFis",-0.132828807481328,0.116907536561362
"66",8,4.27272727272727,0.4,11,"keterampilan proses","keterampilan proses; laboratorium virtual; hukum archimedes; panduan praktikum mandiri; phet; simulsi; laki-laki; perempuan; phet simulation; rangkaian listrik; usaha dan energi","keterampilan proses; laboratorium virtual; hukum archimedes; panduan praktikum mandiri; phet; simulsi; laki-laki; perempuan; phet simulation; rangkaian listrik","PFis",-0.213593337545977,-0.893998808998652
"67",1,9.21111111111111,0.0789013732833957,90,"modul","modul; pembelajaran berbasis projek; modul ajar; berpikir kritis; ips; ipa; ipas; bahasa indonesia; hots; berpikir kreatif; pembelajaran berdiferensiasi; modul pembelajaran; komunikasi; kolaborasi; kooperatif; sumber energi; literasi digital; kerja sama; pengambilan keputusan; wujud zat dan perubahannya; gotong royong; jenis pekerjaan; stad; sistem pencernaan pada manusia; gaya magnet; jigsaw; kondisi geografis indonesia; listrik; magnet; pendidikan pancasila; discovery learning; kreativitas; alat indera pada manusia dan pemeliharaannya; melihat karena cahaya; mempertahankan kedaulatan bangsa; pancasila; siklus air; perkembangbiakan tumbuhan; etika informasi; kebebasan berekspresi; bagian-bagian pada tumbuhan; berbagai peninggalan sejarah di indonesia; cahaya, bunyi, dan peristiwa alam; cerita tentang daerahku; daerahku; fotosintensis; gaya di sekitar kita; gaya terhadap benda; identitas diri; keberagaman budaya; kegiatan ekonomi; kerja sama asean; keterampilan abad-21; membangun jati diri dalam kebhinekaan; mengenal pantun; mengenal perasaan; menghargai perbedaan; pesawat sederhana; rantai makanan dan jaring-jaring makanan; sistem pernapasan pada manusia; tahap pertumbuhan manusia; saintifik; tumbuhan sumber kehidupan di bumi; pengukuran; aktivisme sosial; alat gerak dan sistem gerak hewan dan manusia; arti dan makna simbol pancasila; cahaya dan bunyi; daur hidup hewan dan tumbuhan; jurnalisme masyarakat; keamanan daring; keragaman; keseimbangan ekosistem; kewirausahaan; literasi sosial; membaca dan menulis alfabet; mengenal bagian-bagian bunga; negara kesatuan republik indonesia; privasi individu; struktur dan fungsi bagian-bagian tumbuhan; panca indera; pelestarian makhluk hidup; perkembangbiakan tumbuhan dan hewan; sistem pencernaan hewan ruminansia; sistem pernapasan manusia dan hewan; sumber daya alam hayati dan nonhayati; permasalahan lingkungan mengancam kehidupan; perubahan sosial budaya indonesia; proklamasi kemerdekaan indonesia; literasi kewirausahaan","modul; pembelajaran berbasis projek; modul ajar; berpikir kritis; ips; ipa; ipas; bahasa indonesia; hots; berpikir kreatif","PGSD",1.56264700587997,-0.670438420780768
"68",2,7.52173913043478,0.245059288537549,23,"karakter","karakter; permainan tradisional; buku pedoman; pendidikan karakter; ingin tahu; tanggung jawab; kebaikan hati; kecerdasan sosial; senang belajar; integritas; keadilan; kepemimpinan; optimisme; cerita pendek; film; kesetiakawanan; tanggung jawab sosial; berwawasan luas; keterbukaan pikiran; optimis; pengetahuan; engklek; kasti","karakter; permainan tradisional; buku pedoman; pendidikan karakter; ingin tahu; tanggung jawab; kebaikan hati; kecerdasan sosial; senang belajar; integritas","PGSD",0.541530505892571,0.850118070935472
"69",4,6.38805970149254,0.0714608774310267,67,"lkpd","lkpd; problem based learning; pedagogi reflektif; kurikulum 2022; sumber daya alam; inkuiri; literasi sains; kurikulum merdeka; laboratorium virtual; perangkat pembelajaran; indahnya kebersamaan; ekosistem; pemecahan masalah; keberagaman; fotosintesis; motivasi belajar; minat belajar; berintegritas; analisis wacana kritis; buku tematik; manfaat energi; di lingkungan sekitar; kosakata; multikultural; pengendalian diri; udara bersih; pentingnya makanan sehat; aku dan kebutuhanku; analisis data; ayo cintai lingkungan; bagian tubuh tumbuhan; berhemat energi; bilangan cacah besar; empati; hak dan kewajiban; hormat; interaksi manusia dengan lingkungan; keanekaragaman sosial budaya; keberagaman makhluk hidup di lingkunganku; keberanian; kegigihan; konstitusi dan norma di masyarakat; lingkungan dan manfaatnya; manusia dan lingkungan; mengubah energi; norma dan aturan; pancasial sebagai nilai kehidupan; persatuan dalam perbedaan; percaya diri; sopan santun; toleransi; perubahan wujud zat; sudut; teks deskripsi; siklus hidup hewan; sifat-sifat cahaya; rambu-rambu petunjuk; mengukur ph; pemanasan global; pembiasan cahaya; pengaruh gaya; perubahan energi; perubahan sifat benda; sistem pernapasan manusia; hebatnya cita-citaku; jenis-jenis pekerjaan; fenomena alam","lkpd; problem based learning; pedagogi reflektif; kurikulum 2022; sumber daya alam; inkuiri; literasi sains; kurikulum merdeka; laboratorium virtual; perangkat pembelajaran","PGSD",-0.143705655136784,-0.73852843173572
"70",5,5.28947368421053,0.106685633001422,38,"cerita bergambar","cerita bergambar; buku; kearifan lokal; literasi; profil pelajar pancasila; etnopedagogi; pembelajaran tematik; sbdp; tarian; upacara adat; berkebhinekaan global; kini aku menjadi lebih tertib; fungsi huruf kapital; literasi budaya; mengenal dan menghargai budaya; uma lengge; bahasa daerah; baju adat; dali ni horbo; kebudayaan; lampah mubeng beteng; mandhasiya; tas anjat; pencernaan; bayar harta; candi ijo; kain tapis lampung; musik; manfaat umbul brintik klaten; petualangan bertemu burung enggang; tradisi gumbreg bantul; tradisi labuhan merapi; tradisi sedekah bumi; tradisi kelahiran; beriman, bertakwa kepada tuhan yang maha esa, dan berakhlak mulia; beriman, bertaqwa kepada tuhan yang maha esa dan berakhlak mulia; berkebhinekaan; upacara pernikahan","cerita bergambar; buku; kearifan lokal; literasi; profil pelajar pancasila; etnopedagogi; pembelajaran tematik; sbdp; tarian; upacara adat","PGSD",-0.80773011022038,-0.416177066952673
"71",6,7.97029702970297,0.064950495049505,101,"media","media; matematika; hasil belajar; media pembelajaran; perkalian; permainan; montessori; video; bilangan cacah; ppkn; kemandirian; working memory; operasi hitung; penjumlahan; buku panduan; keaktifan; pecahan; monopoli; video pembelajaran; augmented reality; bangun datar; kedisiplinan; bangun ruang; pembagian; berhitung; animasi; evaluasi; kartu; membaca; bilangan; balok; kubus; nilai tempat; papan perkalian; kesopanan; ular tangga; aktivitas jasmani; flash card; fpb; kerucut satuan; kpk; prestasi belajar; menulis; tanggap budaya; uno stacko; executive function; covid-19; pengenalan huruf; 5w+1h; adaptasi makhluk hidup; anatomi tumbuhan; budaya; eksperimen; film pendek; gerak dasar; gerak dasar menari; jaring-jaring makanan; kaptihu; kelainan dan cara memelihara alat gerak manusia; komik digital; moana; papan berhitung; pemahaman konsep; pengelolaan uang; pengembaraan adiksimba; pengurangan; peta buta; pjok; struktur tumbuhan; membaca pemula; suku kata; pmri; perkembangbiakan makhluk hidup; sotarae; tts; rantai makanan; puzzle; alat peraga; atur kemudi diri; checkerboard; goal directed persistence; indra penglihatan; inhibitory control; kartu domino; lego block numbering; mistar bilangan; pasaran; pendidikan kewarganegaraan; perbandingan; pembuatan sabun cuci tangan cair alami; physical distancing; storytelling; keterampilan berbahasa; minat; religius; saling menghargai; guru; kejujuran; kemanusiaan; permainan edukatif; toleransi beragama","media; matematika; hasil belajar; media pembelajaran; perkalian; permainan; montessori; video; bilangan cacah; ppkn","PGSD",0.812654851141309,-0.798106720128638
"72",7,5,0.142528735632184,30,"computational thinking","computational thinking; buku soal; numerasi; akm; literasi membaca; kontekstual; makanan sehat; soal; android; aplikasi; literasi menulis; olahan makanan singkong; prototipe; alat musik tradisional indonesia; benteng peninggalan bersejarah; candi buddha; desain pembelajaran; kerajaan islam di jawa; panas dan perpindahannya; udara bersih bagi kesehatan; rumah adat indonesia; kualitas soal; pra-akm; profesionalitas guru; fauna indonesia; flora indonesia; kuliner indonesia; tari tradisional; tempat wisata di indonesia; buku soal, numerasi","computational thinking; buku soal; numerasi; akm; literasi membaca; kontekstual; makanan sehat; soal; android; aplikasi","PGSD",-0.982698298778341,-0.0881670392324059
"73",8,5,0.355555555555556,10,"google classroom","google classroom; rancangan pembelajaran; asean; peninggalan sejarah; jenis dan persebaran sumber daya alam; keragaman suku bangsa dan budaya; keragaman suku, bangsa, dan budaya; pemanfaatan dan pemeliharaan sda; peta; script","google classroom; rancangan pembelajaran; asean; peninggalan sejarah; jenis dan persebaran sumber daya alam; keragaman suku bangsa dan budaya; keragaman suku, bangsa, dan budaya; pemanfaatan dan pemeliharaan sda; peta; script","PGSD",-0.982698298778341,1.86129960789473
"74",1,5.27777777777778,0.261437908496732,18,"lkpd-el","lkpd-el; lkpd; reaksi redoks; quizizz; inkuiri; aplikasi; problem based learning; savi; etnokimia; korosi; pogil; sel volta; ikatan kovalen; larutan asam basa; hasil belajar; tts; wizer.me; kimia unsur","lkpd-el; lkpd; reaksi redoks; quizizz; inkuiri; aplikasi; problem based learning; savi; etnokimia; korosi","PKim",0.726821596982538,-0.379943583652435
"75",2,5.55555555555556,0.611111111111111,9,"praktikum","praktikum; nanoteknologi; modul; nanopartikel; bioreduktor; green chemistry; green synthesis; digital; komik","praktikum; nanoteknologi; modul; nanopartikel; bioreduktor; green chemistry; green synthesis; digital; komik","PKim",0.96367303950863,1.48684621022861
"76",4,3.71428571428571,0.252747252747253,14,"modul-el","modul-el; kurikulum merdeka; discovery learning; asam basa; hakikat ilmu kimia; kerja ilmiah; keaktifan; perkembangan teori atom; articulate stroyline; bahan ajar; laju reaksi; bookwidgets; larutan penyangga; senyawa hidrokarbon","modul-el; kurikulum merdeka; discovery learning; asam basa; hakikat ilmu kimia; kerja ilmiah; keaktifan; perkembangan teori atom; articulate stroyline; bahan ajar","PKim",-0.606313665235748,-0.426340125720752
"77",5,3.15384615384615,0.205128205128205,13,"ar","ar; kimia hijau; modul ajar; bentuk molekul; media pembelajaran; praktikum virtual; pembelajaran berbasis projek; assemblr edu; hologram; petunjuk praktikum; sintesis plastik; hidrokarbon; sistem koloid","ar; kimia hijau; modul ajar; bentuk molekul; media pembelajaran; praktikum virtual; pembelajaran berbasis projek; assemblr edu; hologram; petunjuk praktikum","PKim",-1.08418097125542,-0.680562500855422
"78",1,8.44117647058824,0.17825311942959,34,"pemahaman konsep","pemahaman konsep; media; desmos; media pembelajaran; hasil belajar; minat belajar; plsv; akm; bentuk aljabar; fungsi kuadrat; android; alat peraga; game; hubungan antarsudut; kesebangunan; teorema pythagoras; google sites; kahoot; keaktifan belajar; kecepatan dan debit; kognitif; kuis; lectora inspire; mathigon; musik; mit app inventor; saintifik; grafik; game edukasi; motivasi belajar; komik-el; komunikasi matematis; literasi digital; penggunaan handphone","pemahaman konsep; media; desmos; media pembelajaran; hasil belajar; minat belajar; plsv; akm; bentuk aljabar; fungsi kuadrat","PMat",1.77321159037157,-0.230601194508416
"79",2,6.91111111111111,0.108080808080808,45,"etnomatematika","etnomatematika; modul; modul ajar; lkpd; modul-el; batik; trigonometri; modul pembelajaran; handout; makanan; segi empat; spldv; spltv; koneksi matematis; motivasi; perbandingan; candi; anyflip; aplikasi; bangun ruang; gereja; harga; kurikulum merdeka; literasi; museum; etnosteam; garis dan sudut; kain tenun; kecakapan abad 21; manajemen otak; mind mapping; transformasi geometri; persamaan linear; situs; tari; aktivitas fundamental matematika; aktivitas fundamental matematis; gamelan; kaidah pencacahan; perkawinan; kesenian jaranan; tradisi adat; bangunan tradisional; rumah adat; tradisi ruwat","etnomatematika; modul; modul ajar; lkpd; modul-el; batik; trigonometri; modul pembelajaran; handout; makanan","PMat",0.497702998334424,-0.831740148353733
"80",3,7.18421052631579,0.122332859174964,38,"pemecahan masalah","pemecahan masalah; literasi matematika; problem based learning; bangun ruang sisi datar; kontekstual; statistika; aktivitas pembelajaran; mathcitymap; bahan ajar; bangun datar; pisa; bilangan bulat; peluang; ai; bingo; chatgpt; kerja sama; lingkungan; ruang dan bentuk; ukuran pemusatan data; soal; rangkaian pembelajaran; efikasi diri; gaya belajar; math trail; metakognisi; olahraga; perubahan dan hubungan; sptldv; sosial ekonomi; anuitas; kesulitan belajar; perbandingan berbalik nilai; persamaan kuadrat; literasi finansial; pendidikan multikultural; remediasi; permainan tradisional","pemecahan masalah; literasi matematika; problem based learning; bangun ruang sisi datar; kontekstual; statistika; aktivitas pembelajaran; mathcitymap; bahan ajar; bangun datar","PMat",0.72536690067447,-0.709648358583441
"81",4,6.52173913043478,0.221343873517787,23,"berpikir kritis","berpikir kritis; berpikir kreatif; pembelajaran berbasis projek; computational thinking; robotika; kolaborasi; aljabar; komunikasi; etno-stem; pembelajaran steam; persamaan garis lurus; program linear; steam; open ended; balok dan limas; gender; geometri ruang; globalisasi; keberlanjutan; soal cerita; penalaran matematis; kerajinan; pembelajaran stem","berpikir kritis; berpikir kreatif; pembelajaran berbasis projek; computational thinking; robotika; kolaborasi; aljabar; komunikasi; etno-stem; pembelajaran steam","PMat",0.173110781554287,0.138540570029374
"82",5,5.94117647058824,0.213235294117647,17,"pmri","pmri; representasi matematis; disposisi matematis; barisan; deret; angklung; aritmetika; arsitektur; pembelajaran berdiferensiasi; refleksi; tata ruang rumah; bilangan berpangkat; kecerdasan logis; neurosains; nilai mutlak; logika proposisi; menggunakan data","pmri; representasi matematis; disposisi matematis; barisan; deret; angklung; aritmetika; arsitektur; pembelajaran berdiferensiasi; refleksi","PMat",-0.310863746895435,0.0690775176646827
"83",6,5.59259259259259,0.142450142450142,27,"numerasi","numerasi; geogebra; lkpd-el; video; segitiga; discovery learning; hots; bangun ruang sisi lengkung; dimensi tiga; kesalahan; video pembelajaran; irisan dua lingkaran; animasi; balok dan kubus; elpsa; keaktifan; kekongruenan; teori nolting; spasial; perangkat pembelajaran; video interaktif; adversity quotient; calon guru; korelasi; literasi data; model newman; penyajian data","numerasi; geogebra; lkpd-el; video; segitiga; discovery learning; hots; bangun ruang sisi lengkung; dimensi tiga; kesalahan","PMat",-0.601453772135284,-0.537311401316317
"84",8,4.77777777777778,0.179487179487179,27,"python","python; covid-19; numeris; penambangan data; pendidikan; runge-kutta; metode hungarian; penugasan; jadwal; mengajar; new improved ones assignment; prediksi; seir; vaksinasi; adams-bashforth; epidemiologi; hukum pendinginan newton; jaringan kerja; moodle; pert; proposal; runga kutta fehlberg; waktu kematian; regresi logistik; algoritma gale-shapley; random forest; naive bayes","python; covid-19; numeris; penambangan data; pendidikan; runge-kutta; metode hungarian; penugasan; jadwal; mengajar","PMat",-1.28070795613341,-0.220029480997169
"85",9,5.14285714285714,0.476190476190476,7,"permainan","permainan; translasi; antusiasme; engklek; rancangan pembelajaran; bentuk geometris; kartu","permainan; translasi; antusiasme; engklek; rancangan pembelajaran; bentuk geometris; kartu","PMat",-0.976366795770618,2.32171249606502
"86",1,5.25,0.158730158730159,28,"media","media; prestasi belajar; hasil belajar; kooperatif; pembelajaran berbasis projek; infografis; discovery learning; komik; two stay two stray; pluralisme; akulturasi budaya islam; brosur; inside outside circle; komik digital; leaflet; microsoft sway; minat belajar; stad; quizziz; flipped learning; e-booklet; example non example; jepang; media populer; mind mapping; motivasi belajar; media sosial; problem based learning","media; prestasi belajar; hasil belajar; kooperatif; pembelajaran berbasis projek; infografis; discovery learning; komik; two stay two stray; pluralisme","PSej",1.01105725781355,-1.31814953675995
"87",2,4.47058823529412,0.220588235294118,17,"nasionalisme","nasionalisme; sejarah lokal; budaya; film; buku teks; film dokumenter; peran gereja katolik dalam mempertahankan kemerdekaan indonesia; jathilan; maket; sumber belajar; peristiwa rengasdengklok; bahan ajar tambahan; situs ratu boko; suplemen materi; wacana; akurasi; dinamika","nasionalisme; sejarah lokal; budaya; film; buku teks; film dokumenter; peran gereja katolik dalam mempertahankan kemerdekaan indonesia; jathilan; maket; sumber belajar","PSej",-0.0897240623203453,0.168340993070362
"88",4,4.45,0.205263157894737,20,"pendidikan karakter","pendidikan karakter; pemikiran; interaktif; karakter; buku; detik-detik proklamasi kemerdekaan; lkpd; lkpd-el; nasional; pop up book; sumpah pemuda 1928; audio visual; ki hajar dewantara; masa kemerdakaan; profil pelajar pancasila; upaya bangsa indonesia dalam menghadapi ancaman disintegrasi bangsa; vlog; mary wollstonecraft; outdoor learning; literasi","pendidikan karakter; pemikiran; interaktif; karakter; buku; detik-detik proklamasi kemerdekaan; lkpd; lkpd-el; nasional; pop up book","PSej",-0.11880130473898,-0.199930762026033
"89",13,3.4375,0.208333333333333,16,"perempuan","perempuan; perjuangan; kartini; ham; hasan basri; kalimantan; nkri; orde baru; pelopor; pendidikan perempuan; feminisme; kemerdekaan indonesia; nyai ageng serang; rakyat bandung; prajurit; poetri mardika","perempuan; perjuangan; kartini; ham; hasan basri; kalimantan; nkri; orde baru; pelopor; pendidikan perempuan","PSej",-1.54877854796952,-0.126152413782829
"90",14,5.0625,0.275,16,"media pembelajaran","media pembelajaran; sejarah; kurikulum merdeka; heroisme; linktree; pergerakan nasional indonesia; website; modul; modul pembelajaran; wabah penyakit di indonesia; perang diponegoro; ppt morph; fenomenologi; pengalaman belajar; gpib marga mulya; studi kasus","media pembelajaran; sejarah; kurikulum merdeka; heroisme; linktree; pergerakan nasional indonesia; website; modul; modul pembelajaran; wabah penyakit di indonesia","PSej",0.746246657215299,1.47589171949845
